Genero;Idade;Escolaridade;Trabalho;Reg_metrop;Cor;Reg_Urbano;Cart_assinada;Pobreza
Feminino;38;5;4;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;48;5;9;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;48;7;4;Metrop;Nao Branco;Rural;Outros;Nao
Masculino;26;2;7;Metrop;Nao Branco;Rural;Outros;Pobreza
Feminino;39;2;4;Metrop;Nao Branco;Rural;Outros;Pobreza
Feminino;20;4;4;Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;42;3;7;Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;54;6;7;Metrop;Nao Branco;Rural;Outros;Nao
Feminino;33;5;6;Metrop;Nao Branco;Rural;Outros;Nao
Masculino;30;2;3;Metrop;Branco;Rural;Sim;Pobreza
Masculino;42;2;7;Metrop;Nao Branco;Rural;Outros;Pobreza
Feminino;23;2;9;Metrop;Nao Branco;Rural;Sim;Nao
Masculino;49;6;4;Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;20;2;7;Metrop;Nao Branco;Urbano;Sim;Pobreza
Feminino;53;5;8;Metrop;Branco;Urbano;Outros;Nao
Masculino;47;7;8;Metrop;Nao Branco;Urbano;Nao;Nao
Feminino;30;7;7;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;32;5;4;Metrop;Branco;Urbano;Sim;Nao
Feminino;30;7;4;Metrop;Branco;Urbano;Sim;Nao
Masculino;46;5;5;Nao_Metrop;Branco;Rural;Outros;Nao
Feminino;40;7;9;Nao_Metrop;Branco;Rural;Outros;Nao
Masculino;21;5;5;Nao_Metrop;Branco;Rural;Outros;Nao
Masculino;39;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;25;5;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;38;7;9;Nao_Metrop;Branco;Rural;Outros;Nao
Masculino;48;5;9;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Masculino;34;5;2;Nao_Metrop;Nao Branco;Rural;Sim;Nao
Feminino;29;7;4;Nao_Metrop;Branco;Rural;Sim;Nao
Masculino;35;6;2;Nao_Metrop;Branco;Rural;Nao;Nao
Masculino;52;2;1;Nao_Metrop;Branco;Rural;Outros;Nao
Masculino;56;2;1;Nao_Metrop;Nao Branco;Rural;Nao;Nao
Masculino;19;3;1;Nao_Metrop;Nao Branco;Rural;Nao;Pobreza
